GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
3.001293,14,0.07528572,0.03618095,0.058000002,0.051999997,0.168,0.116,1.3748702,1.0112866,0.97606903,0.0960275,3.7281597,3.632132,0,0,0,0,0,0,0,20,0,20,20,20,0,4,0.14760157,0.023617273,0.15693265,0.10846659,0.16807438,0.059607796,3.764056,2.167973,4.6161156,0.0960275,5.727966,5.6319385,0.028368793,1,0.3522861,0,0.3522861,0.3522861,0.3522861,0,16.432037,0,16.432037,16.432037,16.432037,0,inattentive
3.9100153,19,0.07784211,0.030389167,0.066,0.051,0.17,0.119,0.8960039,0.27724698,0.8959221,0.3359859,1.4561511,1.1201652,3,0.12499999,0.023508865,0.11199999,0.10499999,0.15799999,0.053000003,5.930782,5.9746356,2.9280045,0.5924405,14.2719,13.67946,8,0.13514502,0.020930175,0.13546377,0.1040769,0.17000294,0.06592604,2.2240431,1.2682348,2.6639066,0.5924405,4.4480677,3.855627,0.12692308,3,0.63484484,0.16815183,0.720251,0.399939,0.7843445,0.3844055,5.9038777,7.5805483,0.607882,0.4796152,16.624136,16.14452,inattentive
3.0430205,16,0.0905625,0.050643325,0.0645,0.051,0.22,0.169,1.1610324,0.67193156,0.9359234,0,2.5920086,2.5920086,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.14720044,0.04468255,0.12827253,0.10002,0.22022715,0.12020715,3.1147,2.2112944,3.2241087,0,6.016065,6.016065,0,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
3.095354,17,0.09064706,0.051091548,0.067,0.050000004,0.20199999,0.15199998,1.0569341,0.49712935,0.9600082,0,2.1920707,2.1920707,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.15418558,0.039746787,0.15920366,0.10127192,0.20203958,0.100767665,2.861334,1.4840393,2.1120977,1.5357643,5.0559688,3.5202045,0,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
4.2708654,17,0.09782353,0.05034497,0.063,0.051000003,0.20300001,0.15200001,1.1134214,0.71847886,0.8639527,0,2.784248,2.784248,3,0.18133333,0.06265958,0.15399998,0.12200001,0.268,0.146,6.1867414,7.7651706,0.7356388,0.6563308,17.168255,16.511925,9,0.15863124,0.028804269,0.16697305,0.10068763,0.21077238,0.11008475,2.033763,1.96051,1.0398724,0.6076398,7.119712,6.512072,0.054347824,2,0.3999039,0.0641672,0.3999039,0.3357367,0.4640711,0.1283344,9.032219,8.535938,9.032219,0.4962805,17.568157,17.071877,inattentive
3.7092528,23,0.100043476,0.05622276,0.066,0.051,0.21900001,0.16800001,0.8410577,0.37333816,0.6881659,0.0319861,1.760003,1.7280169,0,0,0,0,0,0,0,20,0,20,20,20,0,10,0.14908032,0.030065876,0.149117,0.10002,0.19382982,0.09380982,1.8656125,1.1110265,1.5440302,0.6562136,3.9519942,3.2957807,0.007246377,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
3.2025247,16,0.0830625,0.039123952,0.0605,0.051000003,0.18200001,0.13100001,1.1010188,0.45866477,0.983952,0.5919319,2.3039012,1.7119694,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.13544218,0.025141282,0.13238992,0.10301942,0.18370903,0.08068961,2.4160511,1.428608,2.2800825,0.8161858,4.319843,3.503657,0.028368793,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
9.50218,24,0.11483333,0.073505476,0.07700001,0.051,0.336,0.285,0.8040008,0.348374,0.6879122,0.1436349,1.8881987,1.7445638,12,0.2245,0.11348311,0.17650001,0.12800002,0.478,0.34999996,1.6080017,2.8968282,0.6561681,0.5600263,11.183708,10.623682,17,0.22196391,0.10558198,0.17428711,0.12401613,0.5034362,0.37942007,1.13506,1.0442309,0.6561755,0.1436349,4.048199,3.9045644,0.107407406,1,0.6399047,0,0.6399047,0.6399047,0.6399047,0,12.67185,0,12.67185,12.67185,12.67185,0,inattentive
4.2060947,10,0.1226,0.04087836,0.13599999,0.053999998,0.187,0.13300002,1.8400165,1.3071314,1.2629654,0.6260641,4.560058,3.933994,9,0.13877779,0.029794771,0.12900001,0.110000014,0.21000001,0.099999994,2.078198,2.046314,0.7038414,0.624296,6.879945,6.2556486,10,0.1623999,0.04113238,0.15430206,0.11280516,0.22299105,0.11018589,1.8559968,1.3522614,1.2640738,0.559856,4.1599703,3.6001143,0.06666667,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
3.3538926,16,0.084875,0.038229365,0.0635,0.051,0.163,0.112,1.1120099,0.7856512,0.84802544,0,3.2318206,3.2318206,0,0,0,0,0,0,0,20,0,20,20,20,0,7,0.14305696,0.023898412,0.1555892,0.10804628,0.16992058,0.0618743,2.4434159,1.3592272,2.6397493,0.0640194,4.2240577,4.1600385,0,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
